😀	cara, cara sonriendo, contento, divertido, sonrisa
👂🏿	cuerpo, oreja, oreja: tono de piel oscuro, tono de piel oscuro
🦻🏻	accesibilidad, audífono, oreja con audífono, oreja con audífono: tono de piel claro, prótesis auditiva, sordo, tono de piel claro
🦻🏼	accesibilidad, audífono, oreja con audífono, oreja con audífono: tono de piel claro medio, prótesis auditiva, sordo, tono de piel claro medio
🦻🏽	accesibilidad, audífono, oreja con audífono, oreja con audífono: tono de piel medio, prótesis auditiva, sordo, tono de piel medio
🦻🏾	accesibilidad, audífono, oreja con audífono, oreja con audífono: tono de piel oscuro medio, prótesis auditiva, sordo, tono de piel oscuro medio
🦻🏿	accesibilidad, audífono, oreja con audífono, oreja con audífono: tono de piel oscuro, prótesis auditiva, sordo, tono de piel oscuro
👃🏻	cuerpo, nariz, nariz: tono de piel claro, tono de piel claro
👃🏼	cuerpo, nariz, nariz: tono de piel claro medio, tono de piel claro medio
👃🏽	cuerpo, nariz, nariz: tono de piel medio, tono de piel medio
👃🏾	cuerpo, nariz, nariz: tono de piel oscuro medio, tono de piel oscuro medio
👃🏿	cuerpo, nariz, nariz: tono de piel oscuro, tono de piel oscuro
👶	bebé, cara, infante, nene
👶🏻	bebé, bebé: tono de piel claro, cara, infante, nene, tono de piel claro
👶🏼	bebé, bebé: tono de piel claro medio, cara, infante, nene, tono de piel claro medio
👶🏽	bebé, bebé: tono de piel medio, cara, infante, nene, tono de piel medio
👶🏾	bebé, bebé: tono de piel oscuro medio, cara, infante, nene, tono de piel oscuro medio
👶🏿	bebé, bebé: tono de piel oscuro, cara, infante, nene, tono de piel oscuro
🧒	joven
🧒🏻	joven, joven: tono de piel claro, tono de piel claro
