😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
🧘🏿‍♀	ᎠᎨᏯ ᏚᏓᏝᏗᏍᏗ, ᎠᎨᏯ ᏚᏓᏝᏗᏍᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏯᏪᏐᎸᏢᎢ ᎠᏓᏅᏖᏢᏍᎬᎢ, ᏲᎦ
🛀	ᎠᏓᏬᏍᏗ, ᎤᎾᏙᏬᏍᏗ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ
🛀🏻	ᎠᏓᏬᏍᏗ, ᎤᎾᏙᏬᏍᏗ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🛀🏼	ᎠᏓᏬᏍᏗ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎾᏙᏬᏍᏗ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🛀🏽	ᎠᏓᏬᏍᏗ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏙᏬᏍᏗ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🛀🏾	ᎠᏓᏬᏍᏗ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏙᏬᏍᏗ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🛀🏿	ᎠᏓᏬᏍᏗ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏙᏬᏍᏗ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ, ᏴᏫ ᎠᏓᏬᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🛌	ᎦᏢᏅᏗ, ᏧᏂᏒᏍᏗ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ
🛌🏻	ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᏢᏅᏗ, ᏧᏂᏒᏍᏗ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🛌🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᏢᏅᏗ, ᏧᏂᏒᏍᏗ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🛌🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏢᏅᏗ, ᏧᏂᏒᏍᏗ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🛌🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏢᏅᏗ, ᏧᏂᏒᏍᏗ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🛌🏿	ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏢᏅᏗ, ᏧᏂᏒᏍᏗ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ, ᏴᏫ ᎦᏂᏟ ᎦᏅᎬ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
👭	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👭🏻	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏼‍🤝‍👩🏻	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👭🏼	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏽‍🤝‍👩🏻	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏽‍🤝‍👩🏼	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👭🏽	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏾‍🤝‍👩🏻	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏾‍🤝‍👩🏼	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏾‍🤝‍👩🏽	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👭🏾	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏿‍🤝‍👩🏻	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏿‍🤝‍👩🏼	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏿‍🤝‍👩🏽	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👩🏿‍🤝‍👩🏾	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👭🏿	ᎠᏂᎨᏯ, ᎠᏂᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏚᎾᏙᏯᏂᎠ
👫	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👫🏻	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏻‍🤝‍👨🏼	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏻‍🤝‍👨🏽	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏻‍🤝‍👨🏾	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏻‍🤝‍👨🏿	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏼‍🤝‍👨🏻	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👫🏼	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏼‍🤝‍👨🏽	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏼‍🤝‍👨🏾	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏼‍🤝‍👨🏿	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏽‍🤝‍👨🏻	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏽‍🤝‍👨🏼	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👫🏽	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏽‍🤝‍👨🏾	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏽‍🤝‍👨🏿	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏾‍🤝‍👨🏻	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏾‍🤝‍👨🏼	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
