😀	andlit, glott, glottandi andlit
👨‍🏭	iðnaður, karl, karlkyns verksmiðjustarfsmaður, verkfæri, verksmiðja
👨🏻‍🏭	iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: ljós húðlitur, ljós húðlitur, verkfæri, verksmiðja
👨🏼‍🏭	iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: meðalljós húðlitur, meðalljós húðlitur, verkfæri, verksmiðja
👨🏽‍🏭	iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: millihúðlitur, millihúðlitur, verkfæri, verksmiðja
👨🏾‍🏭	iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: meðaldökkur húðlitur, meðaldökkur húðlitur, verkfæri, verksmiðja
👨🏿‍🏭	dökkur húðlitur, iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: dökkur húðlitur, verkfæri, verksmiðja
👩‍🏭	iðnaður, kona, kvenkyns verksmiðjustarfsmaður, verkfæri, verksmiðja
👩🏻‍🏭	iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: ljós húðlitur, ljós húðlitur, verkfæri, verksmiðja
👩🏼‍🏭	iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: meðalljós húðlitur, meðalljós húðlitur, verkfæri, verksmiðja
👩🏽‍🏭	iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: millihúðlitur, millihúðlitur, verkfæri, verksmiðja
👩🏾‍🏭	iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: meðaldökkur húðlitur, meðaldökkur húðlitur, verkfæri, verksmiðja
👩🏿‍🏭	dökkur húðlitur, iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: dökkur húðlitur, verkfæri, verksmiðja
👨‍💼	karl, karlkyns skrifstofustarfsmaður, skrifstofa, stjórnandi, viðskipti
👨🏻‍💼	karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: ljós húðlitur, ljós húðlitur, skrifstofa, stjórnandi, viðskipti
👨🏼‍💼	karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: meðalljós húðlitur, meðalljós húðlitur, skrifstofa, stjórnandi, viðskipti
👨🏽‍💼	karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: millihúðlitur, millihúðlitur, skrifstofa, stjórnandi, viðskipti
👨🏾‍💼	karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: meðaldökkur húðlitur, meðaldökkur húðlitur, skrifstofa, stjórnandi, viðskipti
👨🏿‍💼	dökkur húðlitur, karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: dökkur húðlitur, skrifstofa, stjórnandi, viðskipti
👩‍💼	kona, kvenkyns skrifstofustarfsmaður, skrifstofa, stjórnandi, viðskipti
👩🏻‍💼	kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: ljós húðlitur, ljós húðlitur, skrifstofa, stjórnandi, viðskipti
👩🏼‍💼	kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: meðalljós húðlitur, meðalljós húðlitur, skrifstofa, stjórnandi, viðskipti
👩🏽‍💼	kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: millihúðlitur, millihúðlitur, skrifstofa, stjórnandi, viðskipti
👩🏾‍💼	kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: meðaldökkur húðlitur, meðaldökkur húðlitur, skrifstofa, stjórnandi, viðskipti
👩🏿‍💼	dökkur húðlitur, kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: dökkur húðlitur, skrifstofa, stjórnandi, viðskipti
👨‍🔬	efnafræði, karl, rannsóknir, vísindamaður
👨🏻‍🔬	efnafræði, karl, ljós húðlitur, rannsóknir, vísindamaður, vísindamaður: ljós húðlitur
👨🏼‍🔬	efnafræði, karl, meðalljós húðlitur, rannsóknir, vísindamaður, vísindamaður: meðalljós húðlitur
👨🏽‍🔬	efnafræði, karl, millihúðlitur, rannsóknir, vísindamaður, vísindamaður: millihúðlitur
👨🏾‍🔬	efnafræði, karl, meðaldökkur húðlitur, rannsóknir, vísindamaður, vísindamaður: meðaldökkur húðlitur
👨🏿‍🔬	dökkur húðlitur, efnafræði, karl, rannsóknir, vísindamaður, vísindamaður: dökkur húðlitur
👩‍🔬	efnafræði, kona, rannsóknir, vísindakona, vísindamaður
👩🏻‍🔬	efnafræði, kona, ljós húðlitur, rannsóknir, vísindakona, vísindakona: ljós húðlitur, vísindamaður
👩🏼‍🔬	efnafræði, kona, meðalljós húðlitur, rannsóknir, vísindakona, vísindakona: meðalljós húðlitur, vísindamaður
👩🏽‍🔬	efnafræði, kona, millihúðlitur, rannsóknir, vísindakona, vísindakona: millihúðlitur, vísindamaður
👩🏾‍🔬	efnafræði, kona, meðaldökkur húðlitur, rannsóknir, vísindakona, vísindakona: meðaldökkur húðlitur, vísindamaður
👩🏿‍🔬	dökkur húðlitur, efnafræði, kona, rannsóknir, vísindakona, vísindakona: dökkur húðlitur, vísindamaður
👨‍💻	forritari, hugbúnaður, hönnuður, karl, karlkyns forritari
👨🏻‍💻	forritari, hugbúnaður, hönnuður, karl, karlkyns forritari, karlkyns forritari: ljós húðlitur, ljós húðlitur
👨🏼‍💻	forritari, hugbúnaður, hönnuður, karl, karlkyns forritari, karlkyns forritari: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍💻	forritari, hugbúnaður, hönnuður, karl, karlkyns forritari, karlkyns forritari: millihúðlitur, millihúðlitur
👨🏾‍💻	forritari, hugbúnaður, hönnuður, karl, karlkyns forritari, karlkyns forritari: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍💻	dökkur húðlitur, forritari, hugbúnaður, hönnuður, karl, karlkyns forritari, karlkyns forritari: dökkur húðlitur
👩‍💻	forritari, hugbúnaður, hönnuður, kona, kvenkyns forritari
👩🏻‍💻	forritari, hugbúnaður, hönnuður, kona, kvenkyns forritari, kvenkyns forritari: ljós húðlitur, ljós húðlitur
👩🏼‍💻	forritari, hugbúnaður, hönnuður, kona, kvenkyns forritari, kvenkyns forritari: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍💻	forritari, hugbúnaður, hönnuður, kona, kvenkyns forritari, kvenkyns forritari: millihúðlitur, millihúðlitur
👩🏾‍💻	forritari, hugbúnaður, hönnuður, kona, kvenkyns forritari, kvenkyns forritari: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍💻	dökkur húðlitur, forritari, hugbúnaður, hönnuður, kona, kvenkyns forritari, kvenkyns forritari: dökkur húðlitur
👨‍🎤	karl, skemmtikraftur, söngvari, tónlist
👨🏻‍🎤	karl, ljós húðlitur, skemmtikraftur, söngvari, söngvari: ljós húðlitur, tónlist
👨🏼‍🎤	karl, meðalljós húðlitur, skemmtikraftur, söngvari, söngvari: meðalljós húðlitur, tónlist
👨🏽‍🎤	karl, millihúðlitur, skemmtikraftur, söngvari, söngvari: millihúðlitur, tónlist
👨🏾‍🎤	karl, meðaldökkur húðlitur, skemmtikraftur, söngvari, söngvari: meðaldökkur húðlitur, tónlist
👨🏿‍🎤	dökkur húðlitur, karl, skemmtikraftur, söngvari, söngvari: dökkur húðlitur, tónlist
👩‍🎤	kona, skemmtikraftur, söngkona, tónlist
👩🏻‍🎤	kona, ljós húðlitur, skemmtikraftur, söngkona, söngkona: ljós húðlitur, tónlist
👩🏼‍🎤	kona, meðalljós húðlitur, skemmtikraftur, söngkona, söngkona: meðalljós húðlitur, tónlist
👩🏽‍🎤	kona, millihúðlitur, skemmtikraftur, söngkona, söngkona: millihúðlitur, tónlist
👩🏾‍🎤	kona, meðaldökkur húðlitur, skemmtikraftur, söngkona, söngkona: meðaldökkur húðlitur, tónlist
👩🏿‍🎤	dökkur húðlitur, kona, skemmtikraftur, söngkona, söngkona: dökkur húðlitur, tónlist
👨‍🎨	karl, listamaður, litaspjald, málari
👨🏻‍🎨	karl, listamaður, listamaður: ljós húðlitur, litaspjald, ljós húðlitur, málari
👨🏼‍🎨	karl, listamaður, listamaður: meðalljós húðlitur, litaspjald, meðalljós húðlitur, málari
👨🏽‍🎨	karl, listamaður, listamaður: millihúðlitur, litaspjald, millihúðlitur, málari
👨🏾‍🎨	karl, listamaður, listamaður: meðaldökkur húðlitur, litaspjald, meðaldökkur húðlitur, málari
👨🏿‍🎨	dökkur húðlitur, karl, listamaður, listamaður: dökkur húðlitur, litaspjald, málari
👩‍🎨	kona, listakona, listamaður, litaspjald, málari
👩🏻‍🎨	kona, listakona, listakona: ljós húðlitur, listamaður, litaspjald, ljós húðlitur, málari
👩🏼‍🎨	kona, listakona, listakona: meðalljós húðlitur, listamaður, litaspjald, meðalljós húðlitur, málari
👩🏽‍🎨	kona, listakona, listakona: millihúðlitur, listamaður, litaspjald, millihúðlitur, málari
👩🏾‍🎨	kona, listakona, listakona: meðaldökkur húðlitur, listamaður, litaspjald, meðaldökkur húðlitur, málari
👩🏿‍🎨	dökkur húðlitur, kona, listakona, listakona: dökkur húðlitur, listamaður, litaspjald, málari
👨‍✈	flugmaður, flugstjóri, flugvél, karl, karlkyns flugstjóri
👨🏻‍✈	flugmaður, flugstjóri, flugvél, karl, karlkyns flugstjóri, karlkyns flugstjóri: ljós húðlitur, ljós húðlitur
👨🏼‍✈	flugmaður, flugstjóri, flugvél, karl, karlkyns flugstjóri, karlkyns flugstjóri: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍✈	flugmaður, flugstjóri, flugvél, karl, karlkyns flugstjóri, karlkyns flugstjóri: millihúðlitur, millihúðlitur
👨🏾‍✈	flugmaður, flugstjóri, flugvél, karl, karlkyns flugstjóri, karlkyns flugstjóri: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍✈	dökkur húðlitur, flugmaður, flugstjóri, flugvél, karl, karlkyns flugstjóri, karlkyns flugstjóri: dökkur húðlitur
👩‍✈	flugmaður, flugstjóri, flugvél, kona, kvenkyns flugstjóri
👩🏻‍✈	flugmaður, flugstjóri, flugvél, kona, kvenkyns flugstjóri, kvenkyns flugstjóri: ljós húðlitur, ljós húðlitur
👩🏼‍✈	flugmaður, flugstjóri, flugvél, kona, kvenkyns flugstjóri, kvenkyns flugstjóri: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍✈	flugmaður, flugstjóri, flugvél, kona, kvenkyns flugstjóri, kvenkyns flugstjóri: millihúðlitur, millihúðlitur
👩🏾‍✈	flugmaður, flugstjóri, flugvél, kona, kvenkyns flugstjóri, kvenkyns flugstjóri: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍✈	dökkur húðlitur, flugmaður, flugstjóri, flugvél, kona, kvenkyns flugstjóri, kvenkyns flugstjóri: dökkur húðlitur
👨‍🚀	eldflaug, geimfari, geimur, karl, karlkyns geimfari
👨🏻‍🚀	eldflaug, geimfari, geimur, karl, karlkyns geimfari, karlkyns geimfari: ljós húðlitur, ljós húðlitur
👨🏼‍🚀	eldflaug, geimfari, geimur, karl, karlkyns geimfari, karlkyns geimfari: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍🚀	eldflaug, geimfari, geimur, karl, karlkyns geimfari, karlkyns geimfari: millihúðlitur, millihúðlitur
👨🏾‍🚀	eldflaug, geimfari, geimur, karl, karlkyns geimfari, karlkyns geimfari: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍🚀	dökkur húðlitur, eldflaug, geimfari, geimur, karl, karlkyns geimfari, karlkyns geimfari: dökkur húðlitur
👩‍🚀	eldflaug, geimfari, geimur, kona, kvenkyns geimfari
👩🏻‍🚀	eldflaug, geimfari, geimur, kona, kvenkyns geimfari, kvenkyns geimfari: ljós húðlitur, ljós húðlitur
👩🏼‍🚀	eldflaug, geimfari, geimur, kona, kvenkyns geimfari, kvenkyns geimfari: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍🚀	eldflaug, geimfari, geimur, kona, kvenkyns geimfari, kvenkyns geimfari: millihúðlitur, millihúðlitur
👩🏾‍🚀	eldflaug, geimfari, geimur, kona, kvenkyns geimfari, kvenkyns geimfari: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍🚀	dökkur húðlitur, eldflaug, geimfari, geimur, kona, kvenkyns geimfari, kvenkyns geimfari: dökkur húðlitur
👨‍🚒	brunabíll, karl, slökkvilið, slökkviliðsmaður
👨🏻‍🚒	brunabíll, karl, ljós húðlitur, slökkvilið, slökkviliðsmaður, slökkviliðsmaður: ljós húðlitur
👨🏼‍🚒	brunabíll, karl, meðalljós húðlitur, slökkvilið, slökkviliðsmaður, slökkviliðsmaður: meðalljós húðlitur
👨🏽‍🚒	brunabíll, karl, millihúðlitur, slökkvilið, slökkviliðsmaður, slökkviliðsmaður: millihúðlitur
👨🏾‍🚒	brunabíll, karl, meðaldökkur húðlitur, slökkvilið, slökkviliðsmaður, slökkviliðsmaður: meðaldökkur húðlitur
👨🏿‍🚒	brunabíll, dökkur húðlitur, karl, slökkvilið, slökkviliðsmaður, slökkviliðsmaður: dökkur húðlitur
👩‍🚒	brunabíll, kona, slökkvilið, slökkviliðskona, slökkviliðsmaður
👩🏻‍🚒	brunabíll, kona, ljós húðlitur, slökkvilið, slökkviliðskona, slökkviliðskona: ljós húðlitur, slökkviliðsmaður
👩🏼‍🚒	brunabíll, kona, meðalljós húðlitur, slökkvilið, slökkviliðskona, slökkviliðskona: meðalljós húðlitur, slökkviliðsmaður
👩🏽‍🚒	brunabíll, kona, millihúðlitur, slökkvilið, slökkviliðskona, slökkviliðskona: millihúðlitur, slökkviliðsmaður
👩🏾‍🚒	brunabíll, kona, meðaldökkur húðlitur, slökkvilið, slökkviliðskona, slökkviliðskona: meðaldökkur húðlitur, slökkviliðsmaður
👩🏿‍🚒	brunabíll, dökkur húðlitur, kona, slökkvilið, slökkviliðskona, slökkviliðskona: dökkur húðlitur, slökkviliðsmaður
👮	fólk, lögregla, lögreglumaður, lögregluþjónn
👮🏻	fólk, ljós húðlitur, lögregla, lögreglumaður, lögregluþjónn, lögregluþjónn: ljós húðlitur
👮🏼	fólk, lögregla, lögreglumaður, lögregluþjónn, lögregluþjónn: meðalljós húðlitur, meðalljós húðlitur
👮🏽	fólk, lögregla, lögreglumaður, lögregluþjónn, lögregluþjónn: millihúðlitur, millihúðlitur
👮🏾	fólk, lögregla, lögreglumaður, lögregluþjónn, lögregluþjónn: meðaldökkur húðlitur, meðaldökkur húðlitur
👮🏿	dökkur húðlitur, fólk, lögregla, lögreglumaður, lögregluþjónn, lögregluþjónn: dökkur húðlitur
👮‍♂	karl, karlkyns lögregluþjónn, lögga, lögregla, lögregluþjónn
👮🏻‍♂	karl, karlkyns lögregluþjónn, karlkyns lögregluþjónn: ljós húðlitur, ljós húðlitur, lögga, lögregla, lögregluþjónn
👮🏼‍♂	karl, karlkyns lögregluþjónn, karlkyns lögregluþjónn: meðalljós húðlitur, lögga, lögregla, lögregluþjónn, meðalljós húðlitur
👮🏽‍♂	karl, karlkyns lögregluþjónn, karlkyns lögregluþjónn: millihúðlitur, lögga, lögregla, lögregluþjónn, millihúðlitur
👮🏾‍♂	karl, karlkyns lögregluþjónn, karlkyns lögregluþjónn: meðaldökkur húðlitur, lögga, lögregla, lögregluþjónn, meðaldökkur húðlitur
👮🏿‍♂	dökkur húðlitur, karl, karlkyns lögregluþjónn, karlkyns lögregluþjónn: dökkur húðlitur, lögga, lögregla, lögregluþjónn
👮‍♀	kona, kvenkyns lögregluþjónn, lögga, lögregla, lögregluþjónn
👮🏻‍♀	kona, kvenkyns lögregluþjónn, kvenkyns lögregluþjónn: ljós húðlitur, ljós húðlitur, lögga, lögregla, lögregluþjónn
👮🏼‍♀	kona, kvenkyns lögregluþjónn, kvenkyns lögregluþjónn: meðalljós húðlitur, lögga, lögregla, lögregluþjónn, meðalljós húðlitur
👮🏽‍♀	kona, kvenkyns lögregluþjónn, kvenkyns lögregluþjónn: millihúðlitur, lögga, lögregla, lögregluþjónn, millihúðlitur
👮🏾‍♀	kona, kvenkyns lögregluþjónn, kvenkyns lögregluþjónn: meðaldökkur húðlitur, lögga, lögregla, lögregluþjónn, meðaldökkur húðlitur
👮🏿‍♀	dökkur húðlitur, kona, kvenkyns lögregluþjónn, kvenkyns lögregluþjónn: dökkur húðlitur, lögga, lögregla, lögregluþjónn
🕵️	leynilögreglumaður, spæjari
🕵🏻	leynilögreglumaður, ljós húðlitur, spæjari, spæjari: ljós húðlitur
🕵🏼	leynilögreglumaður, meðalljós húðlitur, spæjari, spæjari: meðalljós húðlitur
🕵🏽	leynilögreglumaður, millihúðlitur, spæjari, spæjari: millihúðlitur
🕵🏾	leynilögreglumaður, meðaldökkur húðlitur, spæjari, spæjari: meðaldökkur húðlitur
🕵🏿	dökkur húðlitur, leynilögreglumaður, spæjari, spæjari: dökkur húðlitur
🕵‍♂	karl, karlkyns spæjari, leynilögreglumaður, njósnari, spæjari
🕵🏻‍♂	karl, karlkyns spæjari, karlkyns spæjari: ljós húðlitur, leynilögreglumaður, ljós húðlitur, njósnari, spæjari
🕵🏼‍♂	karl, karlkyns spæjari, karlkyns spæjari: meðalljós húðlitur, leynilögreglumaður, meðalljós húðlitur, njósnari, spæjari
🕵🏽‍♂	karl, karlkyns spæjari, karlkyns spæjari: millihúðlitur, leynilögreglumaður, millihúðlitur, njósnari, spæjari
🕵🏾‍♂	karl, karlkyns spæjari, karlkyns spæjari: meðaldökkur húðlitur, leynilögreglumaður, meðaldökkur húðlitur, njósnari, spæjari
🕵🏿‍♂	dökkur húðlitur, karl, karlkyns spæjari, karlkyns spæjari: dökkur húðlitur, leynilögreglumaður, njósnari, spæjari
🕵‍♀	kona, kvenkyns spæjari, leynilögreglumaður, njósnari, spæjari
🕵🏻‍♀	kona, kvenkyns spæjari, kvenkyns spæjari: ljós húðlitur, leynilögreglumaður, ljós húðlitur, njósnari, spæjari
🕵🏼‍♀	kona, kvenkyns spæjari, kvenkyns spæjari: meðalljós húðlitur, leynilögreglumaður, meðalljós húðlitur, njósnari, spæjari
🕵🏽‍♀	kona, kvenkyns spæjari, kvenkyns spæjari: millihúðlitur, leynilögreglumaður, millihúðlitur, njósnari, spæjari
🕵🏾‍♀	kona, kvenkyns spæjari, kvenkyns spæjari: meðaldökkur húðlitur, leynilögreglumaður, meðaldökkur húðlitur, njósnari, spæjari
🕵🏿‍♀	dökkur húðlitur, kona, kvenkyns spæjari, kvenkyns spæjari: dökkur húðlitur, leynilögreglumaður, njósnari, spæjari
💂	fólk, vakt, vörður
💂🏻	fólk, ljós húðlitur, vakt, vörður, vörður: ljós húðlitur
💂🏼	fólk, meðalljós húðlitur, vakt, vörður, vörður: meðalljós húðlitur
💂🏽	fólk, millihúðlitur, vakt, vörður, vörður: millihúðlitur
💂🏾	fólk, meðaldökkur húðlitur, vakt, vörður, vörður: meðaldökkur húðlitur
💂🏿	dökkur húðlitur, fólk, vakt, vörður, vörður: dökkur húðlitur
💂‍♂	karl, karlkyns vörður, vakt, vaktmaður, vörður
💂🏻‍♂	karl, karlkyns vörður, karlkyns vörður: ljós húðlitur, ljós húðlitur, vakt, vaktmaður, vörður
💂🏼‍♂	karl, karlkyns vörður, karlkyns vörður: meðalljós húðlitur, meðalljós húðlitur, vakt, vaktmaður, vörður
💂🏽‍♂	karl, karlkyns vörður, karlkyns vörður: millihúðlitur, millihúðlitur, vakt, vaktmaður, vörður
💂🏾‍♂	karl, karlkyns vörður, karlkyns vörður: meðaldökkur húðlitur, meðaldökkur húðlitur, vakt, vaktmaður, vörður
