😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
👱‍♀	γυναίκα, γυναίκα: ξανθά μαλλιά, μαλλιά, ξανθιά
👱🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα: ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά, γυναίκα: ξανθά μαλλιά, μαλλιά, ξανθά μαλλιά, ξανθιά
👱🏼‍♀	γυναίκα, γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά, γυναίκα: ξανθά μαλλιά, μαλλιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά, ξανθιά
👱🏽‍♀	γυναίκα, γυναίκα: μεσαίος τόνος δέρματος, ξανθά μαλλιά, γυναίκα: ξανθά μαλλιά, μαλλιά, μεσαίος τόνος δέρματος, ξανθά μαλλιά, ξανθιά
👱🏾‍♀	γυναίκα, γυναίκα: μεσαίος-σκούρος τόνος δέρματος, ξανθά μαλλιά, γυναίκα: ξανθά μαλλιά, μαλλιά, μεσαίος-σκούρος τόνος δέρματος, ξανθά μαλλιά, ξανθιά
👱🏿‍♀	γυναίκα, γυναίκα: ξανθά μαλλιά, γυναίκα: σκούρος τόνος δέρματος, ξανθά μαλλιά, μαλλιά, ξανθά μαλλιά, ξανθιά, σκούρος τόνος δέρματος
👩‍🦰	γυναίκα, γυναίκα: κόκκινα μαλλιά, ενήλικας, κόκκινα μαλλιά
👩🏻‍🦰	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα: ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά, ενήλικας, κόκκινα μαλλιά
👩🏼‍🦰	γυναίκα, γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κόκκινα μαλλιά, ενήλικας, κόκκινα μαλλιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👩🏽‍🦰	γυναίκα, γυναίκα: μεσαίος τόνος δέρματος, κόκκινα μαλλιά, ενήλικας, κόκκινα μαλλιά, μεσαίος τόνος δέρματος
👩🏾‍🦰	γυναίκα, γυναίκα: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά, ενήλικας, κόκκινα μαλλιά, μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦰	γυναίκα, γυναίκα: σκούρος τόνος δέρματος, κόκκινα μαλλιά, ενήλικας, κόκκινα μαλλιά, σκούρος τόνος δέρματος
👩‍🦱	γυναίκα, γυναίκα: σγουρά μαλλιά, ενήλικας, σγουρά μαλλιά
👩🏻‍🦱	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά, ενήλικας, σγουρά μαλλιά
👩🏼‍🦱	γυναίκα, γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά, ενήλικας, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά
👩🏽‍🦱	γυναίκα, γυναίκα: μεσαίος τόνος δέρματος, σγουρά μαλλιά, ενήλικας, μεσαίος τόνος δέρματος, σγουρά μαλλιά
👩🏾‍🦱	γυναίκα, γυναίκα: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά, ενήλικας, μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά
👩🏿‍🦱	γυναίκα, γυναίκα: σκούρος τόνος δέρματος, σγουρά μαλλιά, ενήλικας, σγουρά μαλλιά, σκούρος τόνος δέρματος
👩‍🦳	άσπρα μαλλιά, γυναίκα, γυναίκα: άσπρα μαλλιά, ενήλικας
👩🏻‍🦳	άσπρα μαλλιά, ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά, ενήλικας
👩🏼‍🦳	άσπρα μαλλιά, γυναίκα, γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά, ενήλικας, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👩🏽‍🦳	άσπρα μαλλιά, γυναίκα, γυναίκα: μεσαίος τόνος δέρματος, άσπρα μαλλιά, ενήλικας, μεσαίος τόνος δέρματος
👩🏾‍🦳	άσπρα μαλλιά, γυναίκα, γυναίκα: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά, ενήλικας, μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦳	άσπρα μαλλιά, γυναίκα, γυναίκα: σκούρος τόνος δέρματος, άσπρα μαλλιά, ενήλικας, σκούρος τόνος δέρματος
👩‍🦲	γυναίκα, γυναίκα: καραφλός, ενήλικας, καραφλός
👩🏻‍🦲	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα: ανοιχτόχρωμος τόνος δέρματος, καραφλός, ενήλικας, καραφλός
👩🏼‍🦲	γυναίκα, γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός, ενήλικας, καραφλός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👩🏽‍🦲	γυναίκα, γυναίκα: μεσαίος τόνος δέρματος, καραφλός, ενήλικας, καραφλός, μεσαίος τόνος δέρματος
👩🏾‍🦲	γυναίκα, γυναίκα: μεσαίος-σκούρος τόνος δέρματος, καραφλός, ενήλικας, καραφλός, μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦲	γυναίκα, γυναίκα: σκούρος τόνος δέρματος, καραφλός, ενήλικας, καραφλός, σκούρος τόνος δέρματος
🧓	άφυλος, ηλικιωμένος, μεγαλύτερος ενήλικας
🧓🏻	άφυλος, ανοιχτόχρωμος τόνος δέρματος, ηλικιωμένος, μεγαλύτερος ενήλικας, μεγαλύτερος ενήλικας: ανοιχτόχρωμος τόνος δέρματος
🧓🏼	άφυλος, ηλικιωμένος, μεγαλύτερος ενήλικας, μεγαλύτερος ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧓🏽	άφυλος, ηλικιωμένος, μεγαλύτερος ενήλικας, μεγαλύτερος ενήλικας: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧓🏾	άφυλος, ηλικιωμένος, μεγαλύτερος ενήλικας, μεγαλύτερος ενήλικας: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧓🏿	άφυλος, ηλικιωμένος, μεγαλύτερος ενήλικας, μεγαλύτερος ενήλικας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👴	άντρας, ενήλικας, ηλικιωμένος
👴🏻	άντρας, ανοιχτόχρωμος τόνος δέρματος, ενήλικας, ηλικιωμένος, ηλικιωμένος: ανοιχτόχρωμος τόνος δέρματος
👴🏼	άντρας, ενήλικας, ηλικιωμένος, ηλικιωμένος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👴🏽	άντρας, ενήλικας, ηλικιωμένος, ηλικιωμένος: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
👴🏾	άντρας, ενήλικας, ηλικιωμένος, ηλικιωμένος: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
👴🏿	άντρας, ενήλικας, ηλικιωμένος, ηλικιωμένος: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👵	γυναίκα, ενήλικας, ηλικιωμένη
👵🏻	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, ενήλικας, ηλικιωμένη, ηλικιωμένη: ανοιχτόχρωμος τόνος δέρματος
👵🏼	γυναίκα, ενήλικας, ηλικιωμένη, ηλικιωμένη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👵🏽	γυναίκα, ενήλικας, ηλικιωμένη, ηλικιωμένη: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
👵🏾	γυναίκα, ενήλικας, ηλικιωμένη, ηλικιωμένη: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
👵🏿	γυναίκα, ενήλικας, ηλικιωμένη, ηλικιωμένη: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🙍	συνοφρυωμένο άτομο, συνοφρύωμα, χειρονομία
🙍🏻	ανοιχτόχρωμος τόνος δέρματος, συνοφρυωμένο άτομο, συνοφρυωμένο άτομο: ανοιχτόχρωμος τόνος δέρματος, συνοφρύωμα, χειρονομία
🙍🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συνοφρυωμένο άτομο, συνοφρυωμένο άτομο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συνοφρύωμα, χειρονομία
🙍🏽	μεσαίος τόνος δέρματος, συνοφρυωμένο άτομο, συνοφρυωμένο άτομο: μεσαίος τόνος δέρματος, συνοφρύωμα, χειρονομία
🙍🏾	μεσαίος-σκούρος τόνος δέρματος, συνοφρυωμένο άτομο, συνοφρυωμένο άτομο: μεσαίος-σκούρος τόνος δέρματος, συνοφρύωμα, χειρονομία
🙍🏿	σκούρος τόνος δέρματος, συνοφρυωμένο άτομο, συνοφρυωμένο άτομο: σκούρος τόνος δέρματος, συνοφρύωμα, χειρονομία
🙍‍♂	άντρας, θλίψη, μορφασμός, συνοφρυωμένος
🙍🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, θλίψη, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: ανοιχτόχρωμος τόνος δέρματος
🙍🏼‍♂	άντρας, θλίψη, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🙍🏽‍♂	άντρας, θλίψη, μεσαίος τόνος δέρματος, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: μεσαίος τόνος δέρματος
🙍🏾‍♂	άντρας, θλίψη, μεσαίος-σκούρος τόνος δέρματος, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: μεσαίος-σκούρος τόνος δέρματος
