😀	gezicht, grijns, grijnzend gezicht
👮🏿‍♂	agent, donkere huidskleur, man, politie, politieman, politieman: donkere huidskleur
👮‍♀	agent, politie, politievrouw, vrouw
👮🏻‍♀	agent, lichte huidskleur, politie, politievrouw, politievrouw: lichte huidskleur, vrouw
👮🏼‍♀	agent, lichtgetinte huidskleur, politie, politievrouw, politievrouw: lichtgetinte huidskleur, vrouw
👮🏽‍♀	agent, getinte huidskleur, politie, politievrouw, politievrouw: getinte huidskleur, vrouw
👮🏾‍♀	agent, donkergetinte huidskleur, politie, politievrouw, politievrouw: donkergetinte huidskleur, vrouw
👮🏿‍♀	agent, donkere huidskleur, politie, politievrouw, politievrouw: donkere huidskleur, vrouw
🕵️	detective, speurder, spion
🕵🏻	detective, detective: lichte huidskleur, lichte huidskleur, speurder, spion
🕵🏼	detective, detective: lichtgetinte huidskleur, lichtgetinte huidskleur, speurder, spion
🕵🏽	detective, detective: getinte huidskleur, getinte huidskleur, speurder, spion
🕵🏾	detective, detective: donkergetinte huidskleur, donkergetinte huidskleur, speurder, spion
🕵🏿	detective, detective: donkere huidskleur, donkere huidskleur, speurder, spion
🕵‍♂	detective, man, mannelijke detective, speurder, spion
🕵🏻‍♂	detective, lichte huidskleur, man, mannelijke detective, mannelijke detective: lichte huidskleur, speurder, spion
🕵🏼‍♂	detective, lichtgetinte huidskleur, man, mannelijke detective, mannelijke detective: lichtgetinte huidskleur, speurder, spion
🕵🏽‍♂	detective, getinte huidskleur, man, mannelijke detective, mannelijke detective: getinte huidskleur, speurder, spion
🕵🏾‍♂	detective, donkergetinte huidskleur, man, mannelijke detective, mannelijke detective: donkergetinte huidskleur, speurder, spion
🕵🏿‍♂	detective, donkere huidskleur, man, mannelijke detective, mannelijke detective: donkere huidskleur, speurder, spion
🕵‍♀	detective, speurder, spionne, vrouw, vrouwelijke detective
🕵🏻‍♀	detective, lichte huidskleur, speurder, spionne, vrouw, vrouwelijke detective, vrouwelijke detective: lichte huidskleur
🕵🏼‍♀	detective, lichtgetinte huidskleur, speurder, spionne, vrouw, vrouwelijke detective, vrouwelijke detective: lichtgetinte huidskleur
🕵🏽‍♀	detective, getinte huidskleur, speurder, spionne, vrouw, vrouwelijke detective, vrouwelijke detective: getinte huidskleur
🕵🏾‍♀	detective, donkergetinte huidskleur, speurder, spionne, vrouw, vrouwelijke detective, vrouwelijke detective: donkergetinte huidskleur
🕵🏿‍♀	detective, donkere huidskleur, speurder, spionne, vrouw, vrouwelijke detective, vrouwelijke detective: donkere huidskleur
💂	mensen, wachter
💂🏻	lichte huidskleur, mensen, wachter, wachter: lichte huidskleur
💂🏼	lichtgetinte huidskleur, mensen, wachter, wachter: lichtgetinte huidskleur
💂🏽	getinte huidskleur, mensen, wachter, wachter: getinte huidskleur
💂🏾	donkergetinte huidskleur, mensen, wachter, wachter: donkergetinte huidskleur
💂🏿	donkere huidskleur, mensen, wachter, wachter: donkere huidskleur
💂‍♂	man, mannelijke wachter, wachter
💂🏻‍♂	lichte huidskleur, man, mannelijke wachter, mannelijke wachter: lichte huidskleur, wachter
💂🏼‍♂	lichtgetinte huidskleur, man, mannelijke wachter, mannelijke wachter: lichtgetinte huidskleur, wachter
💂🏽‍♂	getinte huidskleur, man, mannelijke wachter, mannelijke wachter: getinte huidskleur, wachter
💂🏾‍♂	donkergetinte huidskleur, man, mannelijke wachter, mannelijke wachter: donkergetinte huidskleur, wachter
💂🏿‍♂	donkere huidskleur, man, mannelijke wachter, mannelijke wachter: donkere huidskleur, wachter
💂‍♀	vrouw, vrouwelijke wachter, wachter
💂🏻‍♀	lichte huidskleur, vrouw, vrouwelijke wachter, vrouwelijke wachter: lichte huidskleur, wachter
💂🏼‍♀	lichtgetinte huidskleur, vrouw, vrouwelijke wachter, vrouwelijke wachter: lichtgetinte huidskleur, wachter
💂🏽‍♀	getinte huidskleur, vrouw, vrouwelijke wachter, vrouwelijke wachter: getinte huidskleur, wachter
💂🏾‍♀	donkergetinte huidskleur, vrouw, vrouwelijke wachter, vrouwelijke wachter: donkergetinte huidskleur, wachter
💂🏿‍♀	donkere huidskleur, vrouw, vrouwelijke wachter, vrouwelijke wachter: donkere huidskleur, wachter
👷	bouw, bouwvakker, helm, klusser
👷🏻	bouw, bouwvakker, bouwvakker: lichte huidskleur, helm, klusser, lichte huidskleur
👷🏼	bouw, bouwvakker, bouwvakker: lichtgetinte huidskleur, helm, klusser, lichtgetinte huidskleur
👷🏽	bouw, bouwvakker, bouwvakker: getinte huidskleur, getinte huidskleur, helm, klusser
👷🏾	bouw, bouwvakker, bouwvakker: donkergetinte huidskleur, donkergetinte huidskleur, helm, klusser
👷🏿	bouw, bouwvakker, bouwvakker: donkere huidskleur, donkere huidskleur, helm, klusser
👷‍♂	bouw, bouwvakker, man, mannelijke bouwvakker
👷🏻‍♂	bouw, bouwvakker, lichte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: lichte huidskleur
👷🏼‍♂	bouw, bouwvakker, lichtgetinte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: lichtgetinte huidskleur
👷🏽‍♂	bouw, bouwvakker, getinte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: getinte huidskleur
👷🏾‍♂	bouw, bouwvakker, donkergetinte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: donkergetinte huidskleur
👷🏿‍♂	bouw, bouwvakker, donkere huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: donkere huidskleur
👷‍♀	bouw, bouwvakker, vrouw, vrouwelijke bouwvakker
👷🏻‍♀	bouw, bouwvakker, lichte huidskleur, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: lichte huidskleur
👷🏼‍♀	bouw, bouwvakker, lichtgetinte huidskleur, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: lichtgetinte huidskleur
👷🏽‍♀	bouw, bouwvakker, getinte huidskleur, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: getinte huidskleur
👷🏾‍♀	bouw, bouwvakker, donkergetinte huidskleur, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: donkergetinte huidskleur
👷🏿‍♀	bouw, bouwvakker, donkere huidskleur, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: donkere huidskleur
🤴	prins
🤴🏻	lichte huidskleur, prins, prins: lichte huidskleur
🤴🏼	lichtgetinte huidskleur, prins, prins: lichtgetinte huidskleur
🤴🏽	getinte huidskleur, prins, prins: getinte huidskleur
🤴🏾	donkergetinte huidskleur, prins, prins: donkergetinte huidskleur
🤴🏿	donkere huidskleur, prins, prins: donkere huidskleur
👸	fantasie, mensen, prinses, sprookje
👸🏻	fantasie, lichte huidskleur, mensen, prinses, prinses: lichte huidskleur, sprookje
👸🏼	fantasie, lichtgetinte huidskleur, mensen, prinses, prinses: lichtgetinte huidskleur, sprookje
👸🏽	fantasie, getinte huidskleur, mensen, prinses, prinses: getinte huidskleur, sprookje
👸🏾	donkergetinte huidskleur, fantasie, mensen, prinses, prinses: donkergetinte huidskleur, sprookje
👸🏿	donkere huidskleur, fantasie, mensen, prinses, prinses: donkere huidskleur, sprookje
👳	persoon met tulband, tulband
👳🏻	lichte huidskleur, persoon met tulband, persoon met tulband: lichte huidskleur, tulband
👳🏼	lichtgetinte huidskleur, persoon met tulband, persoon met tulband: lichtgetinte huidskleur, tulband
👳🏽	getinte huidskleur, persoon met tulband, persoon met tulband: getinte huidskleur, tulband
👳🏾	donkergetinte huidskleur, persoon met tulband, persoon met tulband: donkergetinte huidskleur, tulband
👳🏿	donkere huidskleur, persoon met tulband, persoon met tulband: donkere huidskleur, tulband
👳‍♂	man, man met tulband, tulband
👳🏻‍♂	lichte huidskleur, man, man met tulband, man met tulband: lichte huidskleur, tulband
👳🏼‍♂	lichtgetinte huidskleur, man, man met tulband, man met tulband: lichtgetinte huidskleur, tulband
👳🏽‍♂	getinte huidskleur, man, man met tulband, man met tulband: getinte huidskleur, tulband
👳🏾‍♂	donkergetinte huidskleur, man, man met tulband, man met tulband: donkergetinte huidskleur, tulband
👳🏿‍♂	donkere huidskleur, man, man met tulband, man met tulband: donkere huidskleur, tulband
👳‍♀	tulband, vrouw, vrouw met tulband
👳🏻‍♀	lichte huidskleur, tulband, vrouw, vrouw met tulband, vrouw met tulband: lichte huidskleur
👳🏼‍♀	lichtgetinte huidskleur, tulband, vrouw, vrouw met tulband, vrouw met tulband: lichtgetinte huidskleur
👳🏽‍♀	getinte huidskleur, tulband, vrouw, vrouw met tulband, vrouw met tulband: getinte huidskleur
👳🏾‍♀	donkergetinte huidskleur, tulband, vrouw, vrouw met tulband, vrouw met tulband: donkergetinte huidskleur
👳🏿‍♀	donkere huidskleur, tulband, vrouw, vrouw met tulband, vrouw met tulband: donkere huidskleur
👲	gua pi mao, hoed, man, man met Chinees petje
👲🏻	gua pi mao, hoed, lichte huidskleur, man, man met Chinees petje, man met Chinees petje: lichte huidskleur
👲🏼	gua pi mao, hoed, lichtgetinte huidskleur, man, man met Chinees petje, man met Chinees petje: lichtgetinte huidskleur
👲🏽	getinte huidskleur, gua pi mao, hoed, man, man met Chinees petje, man met Chinees petje: getinte huidskleur
👲🏾	donkergetinte huidskleur, gua pi mao, hoed, man, man met Chinees petje, man met Chinees petje: donkergetinte huidskleur
👲🏿	donkere huidskleur, gua pi mao, hoed, man, man met Chinees petje, man met Chinees petje: donkere huidskleur
🧕	hidjab, hoofddoek, mantilla, vrouw met hoofddoek
🧕🏻	hidjab, hoofddoek, lichte huidskleur, mantilla, vrouw met hoofddoek, vrouw met hoofddoek: lichte huidskleur
🧕🏼	hidjab, hoofddoek, lichtgetinte huidskleur, mantilla, vrouw met hoofddoek, vrouw met hoofddoek: lichtgetinte huidskleur
🧕🏽	getinte huidskleur, hidjab, hoofddoek, mantilla, vrouw met hoofddoek, vrouw met hoofddoek: getinte huidskleur
🧕🏾	donkergetinte huidskleur, hidjab, hoofddoek, mantilla, vrouw met hoofddoek, vrouw met hoofddoek: donkergetinte huidskleur
🧕🏿	donkere huidskleur, hidjab, hoofddoek, mantilla, vrouw met hoofddoek, vrouw met hoofddoek: donkere huidskleur
🤵	bruidegom, man, man in smoking, smoking, tuxedo
🤵🏻	bruidegom, lichte huidskleur, man, man in smoking, man in smoking: lichte huidskleur, smoking, tuxedo
🤵🏼	bruidegom, lichtgetinte huidskleur, man, man in smoking, man in smoking: lichtgetinte huidskleur, smoking, tuxedo
🤵🏽	bruidegom, getinte huidskleur, man, man in smoking, man in smoking: getinte huidskleur, smoking, tuxedo
🤵🏾	bruidegom, donkergetinte huidskleur, man, man in smoking, man in smoking: donkergetinte huidskleur, smoking, tuxedo
🤵🏿	bruidegom, donkere huidskleur, man, man in smoking, man in smoking: donkere huidskleur, smoking, tuxedo
👰	gesluierde bruid, huwelijk, mensen, sluier
👰🏻	gesluierde bruid, gesluierde bruid: lichte huidskleur, huwelijk, lichte huidskleur, mensen, sluier
👰🏼	gesluierde bruid, gesluierde bruid: lichtgetinte huidskleur, huwelijk, lichtgetinte huidskleur, mensen, sluier
👰🏽	gesluierde bruid, gesluierde bruid: getinte huidskleur, getinte huidskleur, huwelijk, mensen, sluier
👰🏾	donkergetinte huidskleur, gesluierde bruid, gesluierde bruid: donkergetinte huidskleur, huwelijk, mensen, sluier
👰🏿	donkere huidskleur, gesluierde bruid, gesluierde bruid: donkere huidskleur, huwelijk, mensen, sluier
🤰	vrouw, zwanger, zwangere vrouw
🤰🏻	lichte huidskleur, vrouw, zwanger, zwangere vrouw, zwangere vrouw: lichte huidskleur
🤰🏼	lichtgetinte huidskleur, vrouw, zwanger, zwangere vrouw, zwangere vrouw: lichtgetinte huidskleur
🤰🏽	getinte huidskleur, vrouw, zwanger, zwangere vrouw, zwangere vrouw: getinte huidskleur
🤰🏾	donkergetinte huidskleur, vrouw, zwanger, zwangere vrouw, zwangere vrouw: donkergetinte huidskleur
🤰🏿	donkere huidskleur, vrouw, zwanger, zwangere vrouw, zwangere vrouw: donkere huidskleur
🤱	baby, borst, borstvoeding, de borst geven
🤱🏻	baby, borst, borstvoeding, borstvoeding: lichte huidskleur, de borst geven, lichte huidskleur
🤱🏼	baby, borst, borstvoeding, borstvoeding: lichtgetinte huidskleur, de borst geven, lichtgetinte huidskleur
🤱🏽	baby, borst, borstvoeding, borstvoeding: getinte huidskleur, de borst geven, getinte huidskleur
🤱🏾	baby, borst, borstvoeding, borstvoeding: donkergetinte huidskleur, de borst geven, donkergetinte huidskleur
🤱🏿	baby, borst, borstvoeding, borstvoeding: donkere huidskleur, de borst geven, donkere huidskleur
👼	baby, baby-engel, engel, fantasie, gezicht, sprookje
👼🏻	baby, baby-engel, baby-engel: lichte huidskleur, engel, fantasie, gezicht, lichte huidskleur, sprookje
👼🏼	baby, baby-engel, baby-engel: lichtgetinte huidskleur, engel, fantasie, gezicht, lichtgetinte huidskleur, sprookje
👼🏽	baby, baby-engel, baby-engel: getinte huidskleur, engel, fantasie, getinte huidskleur, gezicht, sprookje
👼🏾	baby, baby-engel, baby-engel: donkergetinte huidskleur, donkergetinte huidskleur, engel, fantasie, gezicht, sprookje
👼🏿	baby, baby-engel, baby-engel: donkere huidskleur, donkere huidskleur, engel, fantasie, gezicht, sprookje
🎅	Kerstmis, kerstman, viering
🎅🏻	Kerstmis, kerstman, kerstman: lichte huidskleur, lichte huidskleur, viering
🎅🏼	Kerstmis, kerstman, kerstman: lichtgetinte huidskleur, lichtgetinte huidskleur, viering
🎅🏽	Kerstmis, getinte huidskleur, kerstman, kerstman: getinte huidskleur, viering
🎅🏾	Kerstmis, donkergetinte huidskleur, kerstman, kerstman: donkergetinte huidskleur, viering
🎅🏿	Kerstmis, donkere huidskleur, kerstman, kerstman: donkere huidskleur, viering
🤶	kerstmis, kerstvrouw, moedertje kerst
🤶🏻	kerstmis, kerstvrouw, kerstvrouw: lichte huidskleur, lichte huidskleur, moedertje kerst
🤶🏼	kerstmis, kerstvrouw, kerstvrouw: lichtgetinte huidskleur, lichtgetinte huidskleur, moedertje kerst
🤶🏽	getinte huidskleur, kerstmis, kerstvrouw, kerstvrouw: getinte huidskleur, moedertje kerst
🤶🏾	donkergetinte huidskleur, kerstmis, kerstvrouw, kerstvrouw: donkergetinte huidskleur, moedertje kerst
🤶🏿	donkere huidskleur, kerstmis, kerstvrouw, kerstvrouw: donkere huidskleur, moedertje kerst
🦸	goed, held, heldin, superheld, superkrachten
🦸🏻	goed, held, heldin, lichte huidskleur, superheld, superheld: lichte huidskleur, superkrachten
🦸🏼	goed, held, heldin, lichtgetinte huidskleur, superheld, superheld: lichtgetinte huidskleur, superkrachten
🦸🏽	getinte huidskleur, goed, held, heldin, superheld, superheld: getinte huidskleur, superkrachten
🦸🏾	donkergetinte huidskleur, goed, held, heldin, superheld, superheld: donkergetinte huidskleur, superkrachten
🦸🏿	donkere huidskleur, goed, held, heldin, superheld, superheld: donkere huidskleur, superkrachten
🦸‍♂	goed, held, man, mannelijke superheld, superkrachten
🦸🏻‍♂	goed, held, lichte huidskleur, man, mannelijke superheld, mannelijke superheld: lichte huidskleur, superkrachten
🦸🏼‍♂	goed, held, lichtgetinte huidskleur, man, mannelijke superheld, mannelijke superheld: lichtgetinte huidskleur, superkrachten
🦸🏽‍♂	getinte huidskleur, goed, held, man, mannelijke superheld, mannelijke superheld: getinte huidskleur, superkrachten
🦸🏾‍♂	donkergetinte huidskleur, goed, held, man, mannelijke superheld, mannelijke superheld: donkergetinte huidskleur, superkrachten
🦸🏿‍♂	donkere huidskleur, goed, held, man, mannelijke superheld, mannelijke superheld: donkere huidskleur, superkrachten
🦸‍♀	goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld
🦸🏻‍♀	goed, held, heldin, lichte huidskleur, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: lichte huidskleur
🦸🏼‍♀	goed, held, heldin, lichtgetinte huidskleur, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: lichtgetinte huidskleur
🦸🏽‍♀	getinte huidskleur, goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: getinte huidskleur
🦸🏾‍♀	donkergetinte huidskleur, goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: donkergetinte huidskleur
🦸🏿‍♀	donkere huidskleur, goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: donkere huidskleur
🦹	boef, crimineel, slecht, superkrachten, superschurk
🦹🏻	boef, crimineel, lichte huidskleur, slecht, superkrachten, superschurk, superschurk: lichte huidskleur
🦹🏼	boef, crimineel, lichtgetinte huidskleur, slecht, superkrachten, superschurk, superschurk: lichtgetinte huidskleur
🦹🏽	boef, crimineel, getinte huidskleur, slecht, superkrachten, superschurk, superschurk: getinte huidskleur
🦹🏾	boef, crimineel, donkergetinte huidskleur, slecht, superkrachten, superschurk, superschurk: donkergetinte huidskleur
🦹🏿	boef, crimineel, donkere huidskleur, slecht, superkrachten, superschurk, superschurk: donkere huidskleur
🦹‍♂	boef, crimineel, man, mannelijke superschurk, slecht, superkrachten
🦹🏻‍♂	boef, crimineel, lichte huidskleur, man, mannelijke superschurk, mannelijke superschurk: lichte huidskleur, slecht, superkrachten
🦹🏼‍♂	boef, crimineel, lichtgetinte huidskleur, man, mannelijke superschurk, mannelijke superschurk: lichtgetinte huidskleur, slecht, superkrachten
