😀	бет, ырсай, ырсайган бет
🤳🏿	кара, селфи, селфи: кара, сүрөт, телефон
💪	булчуң, дене, тамаша, түй, түйүлгөн булчуң
💪🏻	акжуумал, булчуң, дене, тамаша, түй, түйүлгөн булчуң, түйүлгөн булчуң: акжуумал
💪🏼	булчуң, буудай жүздүү, дене, тамаша, түй, түйүлгөн булчуң, түйүлгөн булчуң: буудай жүздүү
💪🏽	булчуң, дене, орточо, тамаша, түй, түйүлгөн булчуң, түйүлгөн булчуң: орточо
💪🏾	булчуң, дене, кара тору, тамаша, түй, түйүлгөн булчуң, түйүлгөн булчуң: кара тору
💪🏿	булчуң, дене, кара, тамаша, түй, түйүлгөн булчуң, түйүлгөн булчуң: кара
🦾	атайын мүмкүндүк, механикалык кол, протездик
🦿	атайын мүмкүндүк, механикалык бут, протездик
🦵	жоон сан, тебүү
🦵🏻	акжуумал, жоон сан, жоон сан: акжуумал, тебүү
🦵🏼	буудай жүздүү, жоон сан, жоон сан: буудай жүздүү, тебүү
🦵🏽	жоон сан, жоон сан: орточо, орточо, тебүү
🦵🏾	жоон сан, жоон сан: кара тору, кара тору, тебүү
🦵🏿	жоон сан, жоон сан: кара, кара, тебүү
🦶	бут, тебүү
🦶🏻	акжуумал, бут, бут: акжуумал, тебүү
🦶🏼	бут, бут: буудай жүздүү, буудай жүздүү, тебүү
🦶🏽	бут, бут: орточо, орточо, тебүү
🦶🏾	бут, бут: кара тору, кара тору, тебүү
🦶🏿	бут, бут: кара, кара, тебүү
👂️	дене, кулак
👂🏻	акжуумал, дене, кулак, кулак: акжуумал
👂🏼	буудай жүздүү, дене, кулак, кулак: буудай жүздүү
👂🏽	дене, кулак, кулак: орточо, орточо
👂🏾	дене, кара тору, кулак, кулак: кара тору
👂🏿	дене, кара, кулак, кулак: кара
🦻	атайын мүмкүндүк, угуу аппараты менен кулак, угуу кыйынчылыгы
🦻🏻	акжуумал, атайын мүмкүндүк, угуу аппараты менен кулак, угуу аппараты менен кулак: акжуумал, угуу кыйынчылыгы
🦻🏼	атайын мүмкүндүк, буудай жүздүү, угуу аппараты менен кулак, угуу аппараты менен кулак: буудай жүздүү, угуу кыйынчылыгы
🦻🏽	атайын мүмкүндүк, орточо, угуу аппараты менен кулак, угуу аппараты менен кулак: орточо, угуу кыйынчылыгы
🦻🏾	атайын мүмкүндүк, кара тору, угуу аппараты менен кулак, угуу аппараты менен кулак: кара тору, угуу кыйынчылыгы
🦻🏿	атайын мүмкүндүк, кара, угуу аппараты менен кулак, угуу аппараты менен кулак: кара, угуу кыйынчылыгы
👃	дене, мурун
👃🏻	акжуумал, дене, мурун, мурун: акжуумал
👃🏼	буудай жүздүү, дене, мурун, мурун: буудай жүздүү
👃🏽	дене, мурун, мурун: орточо, орточо
👃🏾	дене, кара тору, мурун, мурун: кара тору
👃🏿	дене, кара, мурун, мурун: кара
🧠	акылдуу, мээ
🦷	тиш, тиш доктур
🦴	скелет, сөөк
👀	бет, дене, көз, көздөр
👁️	дене, көз
👅	дене, тил
👄	дене, ооз, эрин
👶	кичинекей, кичинекей бала, наристе
👶🏻	акжуумал, кичинекей, кичинекей бала, кичинекей бала: акжуумал, наристе
👶🏼	буудай жүздүү, кичинекей, кичинекей бала, кичинекей бала: буудай жүздүү, наристе
👶🏽	кичинекей, кичинекей бала, кичинекей бала: орточо, наристе, орточо
👶🏾	кара тору, кичинекей, кичинекей бала, кичинекей бала: кара тору, наристе
👶🏿	кара, кичинекей, кичинекей бала, кичинекей бала: кара, наристе
🧒	жынысы белгисиз, кичинекей, чүрпө
🧒🏻	акжуумал, жынысы белгисиз, кичинекей, чүрпө, чүрпө: акжуумал
🧒🏼	буудай жүздүү, жынысы белгисиз, кичинекей, чүрпө, чүрпө: буудай жүздүү
🧒🏽	жынысы белгисиз, кичинекей, орточо, чүрпө, чүрпө: орточо
🧒🏾	жынысы белгисиз, кара тору, кичинекей, чүрпө, чүрпө: кара тору
🧒🏿	жынысы белгисиз, кара, кичинекей, чүрпө, чүрпө: кара
👦	бала, эркек
👦🏻	акжуумал, бала, бала: акжуумал, эркек
👦🏼	бала, бала: буудай жүздүү, буудай жүздүү, эркек
👦🏽	бала, бала: орточо, орточо, эркек
👦🏾	бала, бала: кара тору, кара тору, эркек
👦🏿	бала, бала: кара, кара, эркек
👧	бийкеч, зодиак, кыз
👧🏻	акжуумал, бийкеч, зодиак, кыз, кыз: акжуумал
👧🏼	бийкеч, буудай жүздүү, зодиак, кыз, кыз: буудай жүздүү
