😀	бет, ырсай, ырсайган бет
👎🏿	-1, «начар», «начар»: кара, бармак, кара, кол, төмөн
✊	дене, кол, көтөрүлгөн муштум, муштум, сокку
✊🏻	акжуумал, дене, кол, көтөрүлгөн муштум, көтөрүлгөн муштум: акжуумал, муштум, сокку
✊🏼	буудай жүздүү, дене, кол, көтөрүлгөн муштум, көтөрүлгөн муштум: буудай жүздүү, муштум, сокку
✊🏽	дене, кол, көтөрүлгөн муштум, көтөрүлгөн муштум: орточо, муштум, орточо, сокку
✊🏾	дене, кара тору, кол, көтөрүлгөн муштум, көтөрүлгөн муштум: кара тору, муштум, сокку
✊🏿	дене, кара, кол, көтөрүлгөн муштум, көтөрүлгөн муштум: кара, муштум, сокку
👊	дене, кол, муштум, сокку, уруп жаткан муштум
👊🏻	акжуумал, дене, кол, муштум, сокку, уруп жаткан муштум, уруп жаткан муштум: акжуумал
👊🏼	буудай жүздүү, дене, кол, муштум, сокку, уруп жаткан муштум, уруп жаткан муштум: буудай жүздүү
👊🏽	дене, кол, муштум, орточо, сокку, уруп жаткан муштум, уруп жаткан муштум: орточо
👊🏾	дене, кара тору, кол, муштум, сокку, уруп жаткан муштум, уруп жаткан муштум: кара тору
👊🏿	дене, кара, кол, муштум, сокку, уруп жаткан муштум, уруп жаткан муштум: кара
🤛	муштум, солго караган, солго караган муштум
🤛🏻	акжуумал, муштум, солго караган, солго караган муштум, солго караган муштум: акжуумал
🤛🏼	буудай жүздүү, муштум, солго караган, солго караган муштум, солго караган муштум: буудай жүздүү
🤛🏽	муштум, орточо, солго караган, солго караган муштум, солго караган муштум: орточо
🤛🏾	кара тору, муштум, солго караган, солго караган муштум, солго караган муштум: кара тору
🤛🏿	кара, муштум, солго караган, солго караган муштум, солго караган муштум: кара
🤜	муштум, оңго караган, оңго караган муштум
🤜🏻	акжуумал, муштум, оңго караган, оңго караган муштум, оңго караган муштум: акжуумал
🤜🏼	буудай жүздүү, муштум, оңго караган, оңго караган муштум, оңго караган муштум: буудай жүздүү
🤜🏽	муштум, орточо, оңго караган, оңго караган муштум, оңго караган муштум: орточо
🤜🏾	кара тору, муштум, оңго караган, оңго караган муштум, оңго караган муштум: кара тору
🤜🏿	кара, муштум, оңго караган, оңго караган муштум, оңго караган муштум: кара
👏	дене, кол чабуу
👏🏻	акжуумал, дене, кол чабуу, кол чабуу: акжуумал
👏🏼	буудай жүздүү, дене, кол чабуу, кол чабуу: буудай жүздүү
👏🏽	дене, кол чабуу, кол чабуу: орточо, орточо
👏🏾	дене, кара тору, кол чабуу, кол чабуу: кара тору
👏🏿	дене, кара, кол чабуу, кол чабуу: кара
🙌	ишарат, кол, кол көтөрүп жаткан адам, көтөрүлгөн колдор, майрам, ураа
🙌🏻	акжуумал, ишарат, кол, кол көтөрүп жаткан адам, кол көтөрүп жаткан адам: акжуумал, көтөрүлгөн колдор, майрам, ураа
🙌🏼	буудай жүздүү, ишарат, кол, кол көтөрүп жаткан адам, кол көтөрүп жаткан адам: буудай жүздүү, көтөрүлгөн колдор, майрам, ураа
🙌🏽	ишарат, кол, кол көтөрүп жаткан адам, кол көтөрүп жаткан адам: орточо, көтөрүлгөн колдор, майрам, орточо, ураа
🙌🏾	ишарат, кара тору, кол, кол көтөрүп жаткан адам, кол көтөрүп жаткан адам: кара тору, көтөрүлгөн колдор, майрам, ураа
🙌🏿	ишарат, кара, кол, кол көтөрүп жаткан адам, кол көтөрүп жаткан адам: кара, көтөрүлгөн колдор, майрам, ураа
👐	алакан, ач, ачык алакандар, дене
👐🏻	акжуумал, алакан, ач, ачык алакандар, ачык алакандар: акжуумал, дене
👐🏼	алакан, ач, ачык алакандар, ачык алакандар: буудай жүздүү, буудай жүздүү, дене
👐🏽	алакан, ач, ачык алакандар, ачык алакандар: орточо, дене, орточо
👐🏾	алакан, ач, ачык алакандар, ачык алакандар: кара тору, дене, кара тору
👐🏿	алакан, ач, ачык алакандар, ачык алакандар: кара, дене, кара
🤲	алакан жаюу, сыйынуу
🤲🏻	акжуумал, алакан жаюу, алакан жаюу: акжуумал, сыйынуу
🤲🏼	алакан жаюу, алакан жаюу: буудай жүздүү, буудай жүздүү, сыйынуу
🤲🏽	алакан жаюу, алакан жаюу: орточо, орточо, сыйынуу
🤲🏾	алакан жаюу, алакан жаюу: кара тору, кара тору, сыйынуу
🤲🏿	алакан жаюу, алакан жаюу: кара, кара, сыйынуу
🤝	жолугуу, келишүү, кол алышуу
🙏	алаканын бириктирген колдор, жалын, кол, ыраазычылык, өтүн
🙏🏻	акжуумал, алаканын бириктирген колдор, алаканын бириктирген колдор: акжуумал, жалын, кол, ыраазычылык, өтүн
🙏🏼	алаканын бириктирген колдор, алаканын бириктирген колдор: буудай жүздүү, буудай жүздүү, жалын, кол, ыраазычылык, өтүн
🙏🏽	алаканын бириктирген колдор, алаканын бириктирген колдор: орточо, жалын, кол, орточо, ыраазычылык, өтүн
🙏🏾	алаканын бириктирген колдор, алаканын бириктирген колдор: кара тору, жалын, кара тору, кол, ыраазычылык, өтүн
🙏🏿	алаканын бириктирген колдор, алаканын бириктирген колдор: кара, жалын, кара, кол, ыраазычылык, өтүн
✍️	дене, жаз, жазып жаткан кол, кол
✍🏻	акжуумал, дене, жаз, жазып жаткан кол, жазып жаткан кол: акжуумал, кол
✍🏼	буудай жүздүү, дене, жаз, жазып жаткан кол, жазып жаткан кол: буудай жүздүү, кол
✍🏽	дене, жаз, жазып жаткан кол, жазып жаткан кол: орточо, кол, орточо
✍🏾	дене, жаз, жазып жаткан кол, жазып жаткан кол: кара тору, кара тору, кол
✍🏿	дене, жаз, жазып жаткан кол, жазып жаткан кол: кара, кара, кол
💅	косметика, маникюр, тырмак, тырмак боёо, өзүнө кам көрүү
💅🏻	акжуумал, косметика, маникюр, тырмак, тырмак боёо, тырмак боёо: акжуумал, өзүнө кам көрүү
💅🏼	буудай жүздүү, косметика, маникюр, тырмак, тырмак боёо, тырмак боёо: буудай жүздүү, өзүнө кам көрүү
💅🏽	косметика, маникюр, орточо, тырмак, тырмак боёо, тырмак боёо: орточо, өзүнө кам көрүү
💅🏾	кара тору, косметика, маникюр, тырмак, тырмак боёо, тырмак боёо: кара тору, өзүнө кам көрүү
💅🏿	кара, косметика, маникюр, тырмак, тырмак боёо, тырмак боёо: кара, өзүнө кам көрүү
🤳	селфи, сүрөт, телефон
🤳🏻	акжуумал, селфи, селфи: акжуумал, сүрөт, телефон
🤳🏼	буудай жүздүү, селфи, селфи: буудай жүздүү, сүрөт, телефон
🤳🏽	орточо, селфи, селфи: орточо, сүрөт, телефон
🤳🏾	кара тору, селфи, селфи: кара тору, сүрөт, телефон
